Commit,High Confidence,Medium Confidence,Low Confidence,High Severity,Medium Severity,Low Severity,Unique CWEs
384ec43b99876707c5488204f27f4c2e39e871c1,7,0,0,0,3,4,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/502.html
f3d1af870512c96006aee43de4a99f3475a215f5,7,0,0,0,3,4,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/502.html
cb2d994f84ad9ded72e3e877f0aacabdda4057b2,7,0,0,0,3,4,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/502.html
1b2868e8700bdc61d7654d3bf2a7d6a904c4f721,7,0,0,0,3,4,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/502.html
c34dd16eec7c7fd7d1c4ce2795903473778cba70,7,0,0,0,3,4,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/502.html
a2e5ea53c2f332048ae7f05299cf0500d0446b7b,7,0,0,0,3,4,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/502.html
2b83d95e123fa660639933f5f6a62907167726ee,7,0,0,0,3,4,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/502.html
c237203119575072ce1de354567b7aa209173270,7,0,0,0,3,4,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/502.html
73cea837e09e017c9a7f133547d5ed70ad8f1a39,7,0,0,0,3,4,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/502.html
cfcda18fe8321d31f27cd87c1e1693cb0db3c7dc,7,0,0,0,3,4,https://cwe.mitre.org/data/definitions/20.html;https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/502.html
